year,city,country,avg_temp
1796,New Delhi,India,25.03
1797,New Delhi,India,26.71
1798,New Delhi,India,24.29
1799,New Delhi,India,25.28
1800,New Delhi,India,25.21
1801,New Delhi,India,24.22
1802,New Delhi,India,25.63
1803,New Delhi,India,25.38
1804,New Delhi,India,25.68
1805,New Delhi,India,25.30
1806,New Delhi,India,25.22
1807,New Delhi,India,24.97
1808,New Delhi,India,
1809,New Delhi,India,
1810,New Delhi,India,
1811,New Delhi,India,
1812,New Delhi,India,
1813,New Delhi,India,24.56
1814,New Delhi,India,23.73
1815,New Delhi,India,24.09
1816,New Delhi,India,23.70
1817,New Delhi,India,23.86
1818,New Delhi,India,24.37
1819,New Delhi,India,23.90
1820,New Delhi,India,24.12
1821,New Delhi,India,24.83
1822,New Delhi,India,24.93
1823,New Delhi,India,24.63
1824,New Delhi,India,25.30
1825,New Delhi,India,25.11
1826,New Delhi,India,25.12
1827,New Delhi,India,25.36
1828,New Delhi,India,24.90
1829,New Delhi,India,24.71
1830,New Delhi,India,25.07
1831,New Delhi,India,24.43
1832,New Delhi,India,24.62
1833,New Delhi,India,24.85
1834,New Delhi,India,24.82
1835,New Delhi,India,23.90
1836,New Delhi,India,24.54
1837,New Delhi,India,24.42
1838,New Delhi,India,24.38
1839,New Delhi,India,24.45
1840,New Delhi,India,24.72
1841,New Delhi,India,24.49
1842,New Delhi,India,24.78
1843,New Delhi,India,24.75
1844,New Delhi,India,24.36
1845,New Delhi,India,24.60
1846,New Delhi,India,25.16
1847,New Delhi,India,24.66
1848,New Delhi,India,24.45
1849,New Delhi,India,24.49
1850,New Delhi,India,24.78
1851,New Delhi,India,24.76
1852,New Delhi,India,24.65
1853,New Delhi,India,24.88
1854,New Delhi,India,25.02
1855,New Delhi,India,25.24
1856,New Delhi,India,23.86
1857,New Delhi,India,24.30
1858,New Delhi,India,
1859,New Delhi,India,
1860,New Delhi,India,
1861,New Delhi,India,
1862,New Delhi,India,
1863,New Delhi,India,
1864,New Delhi,India,
1865,New Delhi,India,
1866,New Delhi,India,
1867,New Delhi,India,
1868,New Delhi,India,
1869,New Delhi,India,
1870,New Delhi,India,24.89
1871,New Delhi,India,24.88
1872,New Delhi,India,24.94
1873,New Delhi,India,25.06
1874,New Delhi,India,24.25
1875,New Delhi,India,25.38
1876,New Delhi,India,24.93
1877,New Delhi,India,25.08
1878,New Delhi,India,25.18
1879,New Delhi,India,24.86
1880,New Delhi,India,25.45
1881,New Delhi,India,25.09
1882,New Delhi,India,24.89
1883,New Delhi,India,24.82
1884,New Delhi,India,24.67
1885,New Delhi,India,24.38
1886,New Delhi,India,24.89
1887,New Delhi,India,24.90
1888,New Delhi,India,24.88
1889,New Delhi,India,25.21
1890,New Delhi,India,25.06
1891,New Delhi,India,24.68
1892,New Delhi,India,25.49
1893,New Delhi,India,23.84
1894,New Delhi,India,24.74
1895,New Delhi,India,25.15
1896,New Delhi,India,25.83
1897,New Delhi,India,25.39
1898,New Delhi,India,25.55
1899,New Delhi,India,25.86
1900,New Delhi,India,25.56
1901,New Delhi,India,25.49
1902,New Delhi,India,25.66
1903,New Delhi,India,25.14
1904,New Delhi,India,25.07
1905,New Delhi,India,24.75
1906,New Delhi,India,25.17
1907,New Delhi,India,25.02
1908,New Delhi,India,25.14
1909,New Delhi,India,24.75
1910,New Delhi,India,24.81
1911,New Delhi,India,25.36
1912,New Delhi,India,25.25
1913,New Delhi,India,24.94
1914,New Delhi,India,25.12
1915,New Delhi,India,25.73
1916,New Delhi,India,25.07
1917,New Delhi,India,23.84
1918,New Delhi,India,25.28
1919,New Delhi,India,24.84
1920,New Delhi,India,24.99
1921,New Delhi,India,26.04
1922,New Delhi,India,25.18
1923,New Delhi,India,25.26
1924,New Delhi,India,24.98
1925,New Delhi,India,24.85
1926,New Delhi,India,24.78
1927,New Delhi,India,24.73
1928,New Delhi,India,25.65
1929,New Delhi,India,25.39
1930,New Delhi,India,25.10
1931,New Delhi,India,25.58
1932,New Delhi,India,25.63
1933,New Delhi,India,24.52
1934,New Delhi,India,24.96
1935,New Delhi,India,24.81
1936,New Delhi,India,24.76
1937,New Delhi,India,24.81
1938,New Delhi,India,25.36
1939,New Delhi,India,25.24
1940,New Delhi,India,25.07
1941,New Delhi,India,26.30
1942,New Delhi,India,25.40
1943,New Delhi,India,25.25
1944,New Delhi,India,24.98
1945,New Delhi,India,24.78
1946,New Delhi,India,25.47
1947,New Delhi,India,25.72
1948,New Delhi,India,25.45
1949,New Delhi,India,25.60
1950,New Delhi,India,24.66
1951,New Delhi,India,25.58
1952,New Delhi,India,25.84
1953,New Delhi,India,26.14
1954,New Delhi,India,25.68
1955,New Delhi,India,25.15
1956,New Delhi,India,25.30
1957,New Delhi,India,24.91
1958,New Delhi,India,25.93
1959,New Delhi,India,25.56
1960,New Delhi,India,25.53
1961,New Delhi,India,24.80
1962,New Delhi,India,25.18
1963,New Delhi,India,25.46
1964,New Delhi,India,25.05
1965,New Delhi,India,25.26
1966,New Delhi,India,25.52
1967,New Delhi,India,24.98
1968,New Delhi,India,25.02
1969,New Delhi,India,25.80
1970,New Delhi,India,25.39
1971,New Delhi,India,24.81
1972,New Delhi,India,25.42
1973,New Delhi,India,25.56
1974,New Delhi,India,25.52
1975,New Delhi,India,25.02
1976,New Delhi,India,25.33
1977,New Delhi,India,25.41
1978,New Delhi,India,25.21
1979,New Delhi,India,25.81
1980,New Delhi,India,26.02
1981,New Delhi,India,25.79
1982,New Delhi,India,25.18
1983,New Delhi,India,24.75
1984,New Delhi,India,25.56
1985,New Delhi,India,25.86
